County,Age Group,Race/Ethnicity,Dose,Residents Vaccinated,Population,Coverage
Iosco,20-29 years,Hispanic,At Least One Dose,62,94,65.96%
Iosco,20-29 years,NH White,At Least One Dose,870,2055,42.34%
Iosco,20-29 years,NH White,Up-To-Date,67,2055,3.26%
Iosco,30-39 years,Hispanic,At Least One Dose,82,113,72.57%
Iosco,30-39 years,Hispanic,Up-To-Date,11,113,9.73%
Iosco,30-39 years,NH White,At Least One Dose,938,2053,45.69%
Iosco,30-39 years,NH White,Up-To-Date,70,2053,3.41%
Iosco,40-49 years,Hispanic,At Least One Dose,55,88,62.5%
Iosco,40-49 years,Hispanic,Up-To-Date,14,88,15.91%
Iosco,40-49 years,NH White,At Least One Dose,993,2054,48.34%
Iosco,40-49 years,NH White,Up-To-Date,103,2054,5.01%
Iosco,5-11 years,Hispanic,At Least One Dose,19,82,23.17%
Iosco,5-11 years,NH White,At Least One Dose,123,1432,8.59%
Iosco,5-11 years,NH White,Up-To-Date,14,1432,0.98%
Iosco,50-64 years,Hispanic,At Least One Dose,112,74,151.35%
Iosco,50-64 years,Hispanic,Up-To-Date,29,74,39.19%
Iosco,50-64 years,NH White,At Least One Dose,3121,5634,55.4%
Iosco,50-64 years,NH White,Up-To-Date,784,5634,13.92%
Iosco,65-74 years,NH White,At Least One Dose,3227,4233,76.23%
Iosco,65-74 years,NH White,Up-To-Date,1366,4233,32.27%
Iosco,75+ years,NH White,At Least One Dose,2911,3141,92.68%
Iosco,75+ years,NH White,Up-To-Date,1253,3141,39.89%
Iosco,under 5 years,NH White,At Least One Dose,16,1061,1.51%
Iron,12-15 years,NH White,At Least One Dose,83,415,20%
Iron,16-19 years,NH White,At Least One Dose,121,358,33.8%
Iron,20-29 years,NH White,At Least One Dose,262,840,31.19%
Iron,20-29 years,NH White,Up-To-Date,17,840,2.02%
Iron,30-39 years,NH White,At Least One Dose,310,953,32.53%
Iron,30-39 years,NH White,Up-To-Date,40,953,4.2%
Iron,40-49 years,NH White,At Least One Dose,408,1033,39.5%
Iron,40-49 years,NH White,Up-To-Date,52,1033,5.03%
Iron,5-11 years,NH White,At Least One Dose,67,711,9.42%
Iron,50-64 years,NH White,At Least One Dose,1027,2595,39.58%
Iron,50-64 years,NH White,Up-To-Date,268,2595,10.33%
Iron,65-74 years,NH White,At Least One Dose,1193,1987,60.04%
Iron,65-74 years,NH White,Up-To-Date,460,1987,23.15%
Iron,75+ years,NH White,At Least One Dose,963,1509,63.82%
Iron,75+ years,NH White,Up-To-Date,394,1509,26.11%
Isabella,12-15 years,Hispanic,At Least One Dose,46,189,24.34%
Isabella,12-15 years,NH American Indian/Alaska Native,At Least One Dose,73,135,54.07%
Isabella,12-15 years,NH Black,At Least One Dose,27,99,27.27%
Isabella,12-15 years,NH White,At Least One Dose,797,2066,38.58%
Isabella,12-15 years,NH White,Up-To-Date,134,2066,6.49%
Isabella,16-19 years,Hispanic,At Least One Dose,85,294,28.91%
Isabella,16-19 years,NH American Indian/Alaska Native,At Least One Dose,97,158,61.39%
Isabella,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,16,93,17.2%
Isabella,16-19 years,NH Black,At Least One Dose,30,287,10.45%
Isabella,16-19 years,NH White,At Least One Dose,914,4672,19.56%
Isabella,16-19 years,NH White,Up-To-Date,118,4672,2.53%
Isabella,20-29 years,Hispanic,At Least One Dose,248,880,28.18%
Isabella,20-29 years,Hispanic,Up-To-Date,29,880,3.3%
Isabella,20-29 years,NH American Indian/Alaska Native,At Least One Dose,236,408,57.84%
Isabella,20-29 years,NH American Indian/Alaska Native,Up-To-Date,23,408,5.64%
Isabella,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,166,397,41.81%
Isabella,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,23,397,5.79%
Isabella,20-29 years,NH Black,At Least One Dose,295,798,36.97%
Isabella,20-29 years,NH Black,Up-To-Date,17,798,2.13%
Isabella,20-29 years,NH White,At Least One Dose,3649,12990,28.09%
Isabella,20-29 years,NH White,Up-To-Date,374,12990,2.88%
Isabella,30-39 years,Hispanic,At Least One Dose,158,331,47.73%
Isabella,30-39 years,Hispanic,Up-To-Date,26,331,7.85%
Isabella,30-39 years,NH American Indian/Alaska Native,At Least One Dose,173,264,65.53%
Isabella,30-39 years,NH American Indian/Alaska Native,Up-To-Date,18,264,6.82%
Isabella,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,123,111,110.81%
Isabella,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,13,111,11.71%
Isabella,30-39 years,NH Black,At Least One Dose,83,201,41.29%
Isabella,30-39 years,NH White,At Least One Dose,2755,5767,47.77%
Isabella,30-39 years,NH White,Up-To-Date,461,5767,7.99%
Isabella,40-49 years,Hispanic,At Least One Dose,107,280,38.21%
Isabella,40-49 years,Hispanic,Up-To-Date,24,280,8.57%
Isabella,40-49 years,NH American Indian/Alaska Native,At Least One Dose,159,242,65.7%
Isabella,40-49 years,NH American Indian/Alaska Native,Up-To-Date,32,242,13.22%
Isabella,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,86,152,56.58%
Isabella,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,21,152,13.82%
Isabella,40-49 years,NH Black,At Least One Dose,71,128,55.47%
Isabella,40-49 years,NH Black,Up-To-Date,16,128,12.5%
Isabella,40-49 years,NH White,At Least One Dose,2830,5025,56.32%
Isabella,40-49 years,NH White,Up-To-Date,670,5025,13.33%
Isabella,5-11 years,Hispanic,At Least One Dose,40,355,11.27%
Isabella,5-11 years,NH American Indian/Alaska Native,At Least One Dose,73,189,38.62%
Isabella,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,29,87,33.33%
Isabella,5-11 years,NH Black,At Least One Dose,21,208,10.1%
Isabella,5-11 years,NH White,At Least One Dose,736,3344,22.01%
Isabella,5-11 years,NH White,Up-To-Date,144,3344,4.31%
Isabella,50-64 years,Hispanic,At Least One Dose,154,260,59.23%
Isabella,50-64 years,Hispanic,Up-To-Date,48,260,18.46%
Isabella,50-64 years,NH American Indian/Alaska Native,At Least One Dose,280,335,83.58%
Isabella,50-64 years,NH American Indian/Alaska Native,Up-To-Date,86,335,25.67%
Isabella,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,94,118,79.66%
Isabella,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,39,118,33.05%
Isabella,50-64 years,NH Black,At Least One Dose,78,148,52.7%
Isabella,50-64 years,NH Black,Up-To-Date,32,148,21.62%
Isabella,50-64 years,NH White,At Least One Dose,5164,8952,57.69%
Isabella,50-64 years,NH White,Up-To-Date,1694,8952,18.92%
Isabella,65-74 years,Hispanic,At Least One Dose,64,88,72.73%
Isabella,65-74 years,Hispanic,Up-To-Date,33,88,37.5%
Isabella,65-74 years,NH American Indian/Alaska Native,At Least One Dose,143,140,102.14%
Isabella,65-74 years,NH American Indian/Alaska Native,Up-To-Date,66,140,47.14%
Isabella,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,47,60,78.33%
Isabella,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,21,60,35%
Isabella,65-74 years,NH White,At Least One Dose,3936,4840,81.32%
Isabella,65-74 years,NH White,Up-To-Date,2047,4840,42.29%
Isabella,75+ years,NH American Indian/Alaska Native,At Least One Dose,76,57,133.33%
Isabella,75+ years,NH American Indian/Alaska Native,Up-To-Date,30,57,52.63%
Isabella,75+ years,NH White,At Least One Dose,3062,3100,98.77%
Isabella,75+ years,NH White,Up-To-Date,1618,3100,52.19%
Isabella,under 5 years,NH American Indian/Alaska Native,At Least One Dose,11,95,11.58%
Isabella,under 5 years,NH White,At Least One Dose,135,2216,6.09%
Isabella,under 5 years,NH White,Up-To-Date,21,2216,0.95%
Jackson,12-15 years,Hispanic,At Least One Dose,147,496,29.64%
Jackson,12-15 years,Hispanic,Up-To-Date,27,496,5.44%
Jackson,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,50,94,53.19%
Jackson,12-15 years,NH Black,At Least One Dose,147,785,18.73%
Jackson,12-15 years,NH Black,Up-To-Date,18,785,2.29%
Jackson,12-15 years,NH White,At Least One Dose,1762,6039,29.18%
Jackson,12-15 years,NH White,Up-To-Date,259,6039,4.29%
Jackson,16-19 years,Hispanic,At Least One Dose,216,436,49.54%
Jackson,16-19 years,Hispanic,Up-To-Date,23,436,5.28%
Jackson,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,30,84,35.71%
Jackson,16-19 years,NH Black,At Least One Dose,205,795,25.79%
Jackson,16-19 years,NH Black,Up-To-Date,16,795,2.01%
Jackson,16-19 years,NH White,At Least One Dose,2584,5960,43.36%
Jackson,16-19 years,NH White,Up-To-Date,362,5960,6.07%
Jackson,20-29 years,Hispanic,At Least One Dose,395,1058,37.33%
Jackson,20-29 years,Hispanic,Up-To-Date,42,1058,3.97%
Jackson,20-29 years,NH American Indian/Alaska Native,At Least One Dose,39,75,52%
Jackson,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,102,224,45.54%
Jackson,20-29 years,NH Black,At Least One Dose,693,2290,30.26%
Jackson,20-29 years,NH Black,Up-To-Date,65,2290,2.84%
Jackson,20-29 years,NH White,At Least One Dose,6594,15636,42.17%
Jackson,20-29 years,NH White,Up-To-Date,776,15636,4.96%
Jackson,30-39 years,Hispanic,At Least One Dose,408,889,45.89%
Jackson,30-39 years,Hispanic,Up-To-Date,54,889,6.07%
Jackson,30-39 years,NH American Indian/Alaska Native,At Least One Dose,39,63,61.9%
Jackson,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,175,218,80.28%
Jackson,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,27,218,12.39%
Jackson,30-39 years,NH Black,At Least One Dose,711,1878,37.86%
Jackson,30-39 years,NH Black,Up-To-Date,85,1878,4.53%
Jackson,30-39 years,NH White,At Least One Dose,7178,15242,47.09%
Jackson,30-39 years,NH White,Up-To-Date,1119,15242,7.34%
Jackson,40-49 years,Hispanic,At Least One Dose,427,667,64.02%
Jackson,40-49 years,Hispanic,Up-To-Date,66,667,9.9%
Jackson,40-49 years,NH American Indian/Alaska Native,At Least One Dose,38,64,59.38%
Jackson,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,130,188,69.15%
Jackson,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,22,188,11.7%
Jackson,40-49 years,NH Black,At Least One Dose,595,1459,40.78%
Jackson,40-49 years,NH Black,Up-To-Date,105,1459,7.2%
Jackson,40-49 years,NH White,At Least One Dose,7792,15498,50.28%
Jackson,40-49 years,NH White,Up-To-Date,1526,15498,9.85%
Jackson,5-11 years,Hispanic,At Least One Dose,138,871,15.84%
Jackson,5-11 years,Hispanic,Up-To-Date,25,871,2.87%
Jackson,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,66,139,47.48%
Jackson,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,15,139,10.79%
Jackson,5-11 years,NH Black,At Least One Dose,116,1435,8.08%
Jackson,5-11 years,NH Black,Up-To-Date,15,1435,1.05%
Jackson,5-11 years,NH White,At Least One Dose,1678,10019,16.75%
Jackson,5-11 years,NH White,Up-To-Date,258,10019,2.58%
Jackson,50-64 years,Hispanic,At Least One Dose,486,758,64.12%
Jackson,50-64 years,Hispanic,Up-To-Date,136,758,17.94%
Jackson,50-64 years,NH American Indian/Alaska Native,At Least One Dose,90,122,73.77%
Jackson,50-64 years,NH American Indian/Alaska Native,Up-To-Date,26,122,21.31%
Jackson,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,173,224,77.23%
Jackson,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,40,224,17.86%
Jackson,50-64 years,NH Black,At Least One Dose,1297,1775,73.07%
Jackson,50-64 years,NH Black,Up-To-Date,334,1775,18.82%
Jackson,50-64 years,NH White,At Least One Dose,17230,29088,59.23%
Jackson,50-64 years,NH White,Up-To-Date,5197,29088,17.87%
Jackson,65-74 years,Hispanic,At Least One Dose,228,270,84.44%
Jackson,65-74 years,Hispanic,Up-To-Date,98,270,36.3%
Jackson,65-74 years,NH American Indian/Alaska Native,At Least One Dose,41,53,77.36%
Jackson,65-74 years,NH American Indian/Alaska Native,Up-To-Date,20,53,37.74%
Jackson,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,59,139,42.45%
Jackson,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,26,139,18.71%
Jackson,65-74 years,NH Black,At Least One Dose,674,588,114.63%
Jackson,65-74 years,NH Black,Up-To-Date,293,588,49.83%
Jackson,65-74 years,NH White,At Least One Dose,13036,15877,82.11%
Jackson,65-74 years,NH White,Up-To-Date,6317,15877,39.79%
Jackson,75+ years,Hispanic,At Least One Dose,155,183,84.7%
Jackson,75+ years,Hispanic,Up-To-Date,79,183,43.17%
Jackson,75+ years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,46,82,56.1%
Jackson,75+ years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,20,82,24.39%
Jackson,75+ years,NH Black,At Least One Dose,374,344,108.72%
Jackson,75+ years,NH Black,Up-To-Date,144,344,41.86%
Jackson,75+ years,NH White,At Least One Dose,10433,11059,94.34%
Jackson,75+ years,NH White,Up-To-Date,5058,11059,45.74%
Jackson,under 5 years,Hispanic,At Least One Dose,22,548,4.01%
Jackson,under 5 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,12,116,10.34%
Jackson,under 5 years,NH Black,At Least One Dose,24,1027,2.34%
Jackson,under 5 years,NH White,At Least One Dose,283,6685,4.23%
Jackson,under 5 years,NH White,Up-To-Date,74,6685,1.11%
Kalamazoo,12-15 years,Hispanic,At Least One Dose,496,1196,41.47%
Kalamazoo,12-15 years,Hispanic,Up-To-Date,113,1196,9.45%
Kalamazoo,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,271,344,78.78%
Kalamazoo,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,79,344,22.97%
Kalamazoo,12-15 years,NH Black,At Least One Dose,737,2051,35.93%
Kalamazoo,12-15 years,NH Black,Up-To-Date,111,2051,5.41%
Kalamazoo,12-15 years,NH White,At Least One Dose,4836,8267,58.5%
Kalamazoo,12-15 years,NH White,Up-To-Date,1304,8267,15.77%
Kalamazoo,16-19 years,Hispanic,At Least One Dose,968,1222,79.21%
Kalamazoo,16-19 years,Hispanic,Up-To-Date,184,1222,15.06%
Kalamazoo,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,201,441,45.58%
Kalamazoo,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,56,441,12.7%
Kalamazoo,16-19 years,NH Black,At Least One Dose,931,2089,44.57%
Kalamazoo,16-19 years,NH Black,Up-To-Date,144,2089,6.89%
Kalamazoo,16-19 years,NH White,At Least One Dose,5506,10187,54.05%
Kalamazoo,16-19 years,NH White,Up-To-Date,1289,10187,12.65%
Kalamazoo,20-29 years,Hispanic,At Least One Dose,1825,3365,54.23%
Kalamazoo,20-29 years,Hispanic,Up-To-Date,259,3365,7.7%
Kalamazoo,20-29 years,NH American Indian/Alaska Native,At Least One Dose,158,177,89.27%
Kalamazoo,20-29 years,NH American Indian/Alaska Native,Up-To-Date,33,177,18.64%
Kalamazoo,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,1115,2109,52.87%
Kalamazoo,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,179,2109,8.49%
Kalamazoo,20-29 years,NH Black,At Least One Dose,3148,6524,48.25%
Kalamazoo,20-29 years,NH Black,Up-To-Date,312,6524,4.78%
Kalamazoo,20-29 years,NH White,At Least One Dose,16615,34927,47.57%
Kalamazoo,20-29 years,NH White,Up-To-Date,2813,34927,8.05%
Kalamazoo,30-39 years,Hispanic,At Least One Dose,1428,1996,71.54%
Kalamazoo,30-39 years,Hispanic,Up-To-Date,265,1996,13.28%
Kalamazoo,30-39 years,NH American Indian/Alaska Native,At Least One Dose,125,118,105.93%
Kalamazoo,30-39 years,NH American Indian/Alaska Native,Up-To-Date,29,118,24.58%
Kalamazoo,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,819,916,89.41%
Kalamazoo,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,209,916,22.82%
Kalamazoo,30-39 years,NH Black,At Least One Dose,2292,3451,66.42%
Kalamazoo,30-39 years,NH Black,Up-To-Date,329,3451,9.53%
Kalamazoo,30-39 years,NH White,At Least One Dose,16526,24217,68.24%
Kalamazoo,30-39 years,NH White,Up-To-Date,4253,24217,17.56%
Kalamazoo,40-49 years,Hispanic,At Least One Dose,1230,1505,81.73%
Kalamazoo,40-49 years,Hispanic,Up-To-Date,316,1505,21%
Kalamazoo,40-49 years,NH American Indian/Alaska Native,At Least One Dose,125,86,145.35%
Kalamazoo,40-49 years,NH American Indian/Alaska Native,Up-To-Date,35,86,40.7%
Kalamazoo,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,723,967,74.77%
Kalamazoo,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,241,967,24.92%
Kalamazoo,40-49 years,NH Black,At Least One Dose,2150,3064,70.17%
Kalamazoo,40-49 years,NH Black,Up-To-Date,433,3064,14.13%
Kalamazoo,40-49 years,NH White,At Least One Dose,16066,21428,74.98%
Kalamazoo,40-49 years,NH White,Up-To-Date,5083,21428,23.72%
Kalamazoo,5-11 years,Hispanic,At Least One Dose,601,2096,28.67%
Kalamazoo,5-11 years,Hispanic,Up-To-Date,124,2096,5.92%
Kalamazoo,5-11 years,NH American Indian/Alaska Native,At Least One Dose,13,61,21.31%
Kalamazoo,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,320,531,60.26%
Kalamazoo,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,82,531,15.44%
Kalamazoo,5-11 years,NH Black,At Least One Dose,813,3579,22.72%
Kalamazoo,5-11 years,NH Black,Up-To-Date,131,3579,3.66%
Kalamazoo,5-11 years,NH White,At Least One Dose,6067,14294,42.44%
Kalamazoo,5-11 years,NH White,Up-To-Date,1518,14294,10.62%
Kalamazoo,50-64 years,Hispanic,At Least One Dose,1266,1252,101.12%
Kalamazoo,50-64 years,Hispanic,Up-To-Date,392,1252,31.31%
Kalamazoo,50-64 years,NH American Indian/Alaska Native,At Least One Dose,184,161,114.29%
Kalamazoo,50-64 years,NH American Indian/Alaska Native,Up-To-Date,59,161,36.65%
Kalamazoo,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,835,851,98.12%
Kalamazoo,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,320,851,37.6%
Kalamazoo,50-64 years,NH Black,At Least One Dose,3481,3893,89.42%
Kalamazoo,50-64 years,NH Black,Up-To-Date,1092,3893,28.05%
Kalamazoo,50-64 years,NH White,At Least One Dose,26950,35073,76.84%
Kalamazoo,50-64 years,NH White,Up-To-Date,10853,35073,30.94%
Kalamazoo,65-74 years,Hispanic,At Least One Dose,458,420,109.05%
Kalamazoo,65-74 years,Hispanic,Up-To-Date,233,420,55.48%
Kalamazoo,65-74 years,NH American Indian/Alaska Native,At Least One Dose,99,74,133.78%
Kalamazoo,65-74 years,NH American Indian/Alaska Native,Up-To-Date,62,74,83.78%
Kalamazoo,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,350,333,105.11%
Kalamazoo,65-74 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,185,333,55.56%
Kalamazoo,65-74 years,NH Black,At Least One Dose,1734,1540,112.6%
Kalamazoo,65-74 years,NH Black,Up-To-Date,819,1540,53.18%
Kalamazoo,65-74 years,NH White,At Least One Dose,19812,20480,96.74%
Kalamazoo,65-74 years,NH White,Up-To-Date,11692,20480,57.09%
Kalamazoo,75+ years,Hispanic,At Least One Dose,279,246,113.41%
Kalamazoo,75+ years,Hispanic,Up-To-Date,123,246,50%
Kalamazoo,75+ years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,217,198,109.6%
Kalamazoo,75+ years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,123,198,62.12%
Kalamazoo,75+ years,NH Black,At Least One Dose,995,871,114.24%
Kalamazoo,75+ years,NH Black,Up-To-Date,493,871,56.6%
Kalamazoo,75+ years,NH White,At Least One Dose,16122,14761,109.22%
Kalamazoo,75+ years,NH White,Up-To-Date,9648,14761,65.36%
Kalamazoo,under 5 years,Hispanic,At Least One Dose,167,1473,11.34%
Kalamazoo,under 5 years,Hispanic,Up-To-Date,30,1473,2.04%
Kalamazoo,under 5 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,71,345,20.58%
Kalamazoo,under 5 years,NH Black,At Least One Dose,178,2631,6.77%
Kalamazoo,under 5 years,NH Black,Up-To-Date,24,2631,0.91%
Kalamazoo,under 5 years,NH White,At Least One Dose,1661,9798,16.95%
Kalamazoo,under 5 years,NH White,Up-To-Date,368,9798,3.76%
Kalkaska,12-15 years,NH White,At Least One Dose,157,760,20.66%
Kalkaska,12-15 years,NH White,Up-To-Date,19,760,2.5%
Kalkaska,16-19 years,NH White,At Least One Dose,246,685,35.91%
Kalkaska,16-19 years,NH White,Up-To-Date,40,685,5.84%
Kalkaska,20-29 years,NH White,At Least One Dose,588,1739,33.81%
Kalkaska,20-29 years,NH White,Up-To-Date,58,1739,3.34%
Kalkaska,30-39 years,Hispanic,At Least One Dose,19,64,29.69%
Kalkaska,30-39 years,NH White,At Least One Dose,638,1932,33.02%
Kalkaska,30-39 years,NH White,Up-To-Date,82,1932,4.24%
Kalkaska,40-49 years,NH White,At Least One Dose,696,1885,36.92%
Kalkaska,40-49 years,NH White,Up-To-Date,119,1885,6.31%
Kalkaska,5-11 years,NH White,At Least One Dose,137,1296,10.57%
Kalkaska,5-11 years,NH White,Up-To-Date,27,1296,2.08%
Kalkaska,50-64 years,NH White,At Least One Dose,1741,3792,45.91%
Kalkaska,50-64 years,NH White,Up-To-Date,455,3792,12%
Kalkaska,65-74 years,NH White,At Least One Dose,1325,2219,59.71%
Kalkaska,65-74 years,NH White,Up-To-Date,586,2219,26.41%
Kalkaska,75+ years,NH White,At Least One Dose,870,1372,63.41%
Kalkaska,75+ years,NH White,Up-To-Date,394,1372,28.72%
Kalkaska,under 5 years,NH White,At Least One Dose,25,841,2.97%
Kent,12-15 years,Hispanic,At Least One Dose,3172,6614,47.96%
Kent,12-15 years,Hispanic,Up-To-Date,738,6614,11.16%
Kent,12-15 years,NH American Indian/Alaska Native,At Least One Dose,40,89,44.94%
Kent,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,748,1392,53.74%
Kent,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,201,1392,14.44%
Kent,12-15 years,NH Black,At Least One Dose,1712,4320,39.63%
Kent,12-15 years,NH Black,Up-To-Date,355,4320,8.22%
Kent,12-15 years,NH White,At Least One Dose,10950,21144,51.79%
Kent,12-15 years,NH White,Up-To-Date,2650,21144,12.53%
Kent,16-19 years,Hispanic,At Least One Dose,4658,5977,77.93%
Kent,16-19 years,Hispanic,Up-To-Date,955,5977,15.98%
Kent,16-19 years,NH American Indian/Alaska Native,At Least One Dose,42,87,48.28%
Kent,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,535,1401,38.19%
Kent,16-19 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,132,1401,9.42%
Kent,16-19 years,NH Black,At Least One Dose,1936,4199,46.11%
Kent,16-19 years,NH Black,Up-To-Date,369,4199,8.79%
Kent,16-19 years,NH White,At Least One Dose,12899,20653,62.46%
Kent,16-19 years,NH White,Up-To-Date,2659,20653,12.87%
Kent,20-29 years,Hispanic,At Least One Dose,8735,13105,66.65%
Kent,20-29 years,Hispanic,Up-To-Date,1181,13105,9.01%
Kent,20-29 years,NH American Indian/Alaska Native,At Least One Dose,330,319,103.45%
Kent,20-29 years,NH American Indian/Alaska Native,Up-To-Date,50,319,15.67%
Kent,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,2064,3626,56.92%
Kent,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,436,3626,12.02%
Kent,20-29 years,NH Black,At Least One Dose,5491,11280,48.68%
Kent,20-29 years,NH Black,Up-To-Date,732,11280,6.49%
Kent,20-29 years,NH White,At Least One Dose,41059,65253,62.92%
Kent,20-29 years,NH White,Up-To-Date,6924,65253,10.61%
Kent,30-39 years,Hispanic,At Least One Dose,7072,10513,67.27%
Kent,30-39 years,Hispanic,Up-To-Date,1156,10513,11%
Kent,30-39 years,NH American Indian/Alaska Native,At Least One Dose,394,319,123.51%
Kent,30-39 years,NH American Indian/Alaska Native,Up-To-Date,70,319,21.94%
Kent,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,2441,3815,63.98%
Kent,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,550,3815,14.42%
Kent,30-39 years,NH Black,At Least One Dose,4968,8381,59.28%
Kent,30-39 years,NH Black,Up-To-Date,738,8381,8.81%
Kent,30-39 years,NH White,At Least One Dose,46936,68842,68.18%
Kent,30-39 years,NH White,Up-To-Date,12110,68842,17.59%
Kent,40-49 years,Hispanic,At Least One Dose,6932,9031,76.76%
Kent,40-49 years,Hispanic,Up-To-Date,1280,9031,14.17%
Kent,40-49 years,NH American Indian/Alaska Native,At Least One Dose,326,246,132.52%
Kent,40-49 years,NH American Indian/Alaska Native,Up-To-Date,86,246,34.96%
Kent,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,1908,3276,58.24%
Kent,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,538,3276,16.42%
Kent,40-49 years,NH Black,At Least One Dose,4647,6577,70.66%
Kent,40-49 years,NH Black,Up-To-Date,978,6577,14.87%
Kent,40-49 years,NH White,At Least One Dose,39899,53900,74.02%
Kent,40-49 years,NH White,Up-To-Date,11801,53900,21.89%
Kent,5-11 years,Hispanic,At Least One Dose,3372,10960,30.77%
Kent,5-11 years,Hispanic,Up-To-Date,742,10960,6.77%
Kent,5-11 years,NH American Indian/Alaska Native,At Least One Dose,42,171,24.56%
Kent,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,1153,2143,53.8%
Kent,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,268,2143,12.51%
Kent,5-11 years,NH Black,At Least One Dose,1814,7864,23.07%
Kent,5-11 years,NH Black,Up-To-Date,344,7864,4.37%
Kent,5-11 years,NH White,At Least One Dose,15230,36878,41.3%
Kent,5-11 years,NH White,Up-To-Date,3501,36878,9.49%
Kent,50-64 years,Hispanic,At Least One Dose,7388,8047,91.81%
Kent,50-64 years,Hispanic,Up-To-Date,1871,8047,23.25%
Kent,50-64 years,NH American Indian/Alaska Native,At Least One Dose,488,313,155.91%
Kent,50-64 years,NH American Indian/Alaska Native,Up-To-Date,185,313,59.11%
